Species_Abv,Common Species Name,Species ,ACQ #,Source,Date Admitted,Date Released,Details of rescue,Disposition,Diagnosis,Survive 
RTHA,,,1890-01-246,IVEY,9/5/2001,11/25/2001,S HBC,RELEASED,TRAUMA - OS,
RTHA,,,1891-01-247,RIVERBANKS ZOO,9/7/2001,11/18/2001,TRANSFER IN/S COLLISION,RELEASED,TRAUMA - OU/INFECTION,
EASO,,,1892-01-248,BAKER,9/10/2001,11/30/2001,S HBC,RELEASED,TRAUMA - HEAD,
BDOW,,,1893-01-249,GERALD,9/11/2001,1/10/2002,S HBC,RELEASED,TRAUMA - OD,
TUVU,,,1894-01-250,BOULWARE,9/12/2001,12/12/2001,HBC,RELEASED,TRAUMA - NEUROLOGICAL,
GHOW,,,1895-01-251,TUCKER,9/13/2001,9/14/2001,S HBC,DIED,"FX - HUMERUS, L/TRAUMA - INTERNAL",
BDOW,,,1896-01-252,CROSBY (SCNDR),9/14/2001,11/21/2001,S COLLISION,RELEASED,"FX - HUMERUS, R",
AMKE,,,1897-01-253,MIDDLETON,9/15/2001,11/19/2001,GUNSHOT,EUTHANIZED,"FX - HUMERUS, R",
TUVU,,,1898-01-254,HARRINGTON,9/16/2001,9/17/2001,S HBC,DIED,"TRAUMA - WRIST, L-INTERNAL",
BDOW,,,1899-01-255,GILLELAND,9/18/2001,9/25/2001,S COLLISION,DIED,TRAUMA - OU-HEAD,
GHOW,,,1900-01-256,STEELE,9/19/2001,9/20/2001,GUNSHOT,DIED,"FX - ULNA, BILATERAL/EMACIATED",
BDOW,,,1901-01-257,THORN,9/20/2001,9/20/2001,INFECTION,EUTHANIZED,TRICHOMONIASIS,
BDOW,,,1902-01-258,WAVC,9/21/2001,12/21/2001,S COLLISION,RELEASED,TRAUMA - TISSUE,
RTHA,,,1903-01-259,POSEY,9/28/2001,9/28/2001,GUNSHOT,EUTHANIZED,"FX - TIBIOTARSUS, L",
RSHA,,,1904-01-260,RIVERBANKS ZOO,9/28/2001,11/17/2001,TRANSFER IN/S COLLISION,EUTHANIZED,TRAUMA - FEATHER,
BDOW,,,1905-01-261,OWENS,9/28/2001,12/6/2001,S HBC,RELEASED,TRAUMA - OU-HEAD,
OSPR,,,1906-01-262,DISMUKE,10/1/2001,6/3/2002,TRAPPED/ENTANGLED,EUTHANIZED,"TRAUMA - TISSUE, LEGS",
EASO,,,1907-01-263,CHARLESTOWNE LANDING,10/1/2001,10/2/2001,S HBC,DIED,TRAUMA - OU,
EASO,,,1908-01-264,"LEWIS, L. M.",10/3/2001,10/4/2001,S HBC,EUTHANIZED,TRAUMA - OU,
EASO,,,1909-01-265,"ELDRIDGE, C",10/3/2001,11/8/2001,S HBC,EUTHANIZED,TRAUMA - OU-HEAD,
BDOW,,,1910-01-266,,10/5/2001,3/21/2002,S HBC,RELEASED,"FX - ULNA, R/TRAUMA - OD",
RTHA,,,1911-01-267,DAVIS,10/6/2001,3/16/2002,GUNSHOT,RELEASED,"FX - ULNA, R",
RSHA,,,1912-01-268,SMITH,10/8/2001,4/22/2002,GUNSHOT,ESCAPED,"FX - ULNA, R",
EASO,,,1913-01-269,"GUILLEAUX, DVM",10/8/2001,10/5/2002,HBC,RELEASED,"FX - HUMERUS, R-LUXATION, ELBOW",
BDOW,,,1914-01-270,OSBORNE,10/8/2001,10/8/2001,INFECTION,EUTHANIZED,TRICHOMONIASIS,
GHOW,,,1915-01-271,BASS,10/11/2001,5/2/2002,HBC,EUTHANIZED,"FX - HUMERUS, L",
BDOW,,,1916-01-272,CHAS. AN. CONTROL,10/15/2001,11/9/2001,S HBC,EUTHANIZED,TRAUMA - OU-HEAD,
OSPR,,,1917-01-273,ARK VET,10/15/2001,1/4/2002,GUNSHOT,EUTHANIZED,"FX - PHANLANX, L",
OSPR,,,1918-01-274,BLALOCK,10/15/2001,10/16/2001,UNKNOWN,DIED,TRAUMA - TISSUE,
BDOW,,,1919-01-275,DAVID,10/15/2001,3/15/2002,HBC,RELEASED,"FX - RADIUS-ULNA, L",
RTHA,,,1920-01-276,RAGLIGH,10/16/2001,2/2/2002,S HBC,RELEASED,"FX - HUMERUS, L",
TUVU,,,1921-01-277,PARSELL,10/17/2001,10/17/2001,S COLLISION,EUTHANIZED,"FX - RADIUS-ULNA, L-HUMERUS, R",
RTHA,,,1922-01-278,WILLIAMS,10/18/2001,10/21/2001,GUNSHOT,EUTHANIZED,"FX - TIBIOTARSUS-ULNA, L/TRAUMA - OU",
EASO,,,1923-01-279,ARK VET,10/18/2001,10/18/2001,S COLLISION,EUTHANIZED,TRAUMA - OU,
OSPR,,,1924-01-280,,10/18/2001,10/19/2001,EMACIATION,DIED,EMACIATED,
BDOW,,,1925-01-282,THOMPSON,10/19/2001,10/19/2001,S HBC,EUTHANIZED,"FX - RADIUS-ULNA, L",
BDOW,,,1926-01-283,NELSON,10/19/2001,10/29/2001,INFECTION,DIED,TRICHOMONIASIS,
BDOW,,,1927-01-284,SPIRES,10/20/2001,10/21/2001,S HBC,EUTHANIZED,"FX - METACARPALS, R",
COHA,,,1928-01-285,HOPE(SCDNR),10/22/2001,10/22/2001,S HBC,DIED,"FX - HUMERUS, L/EMACIATED",
GHOW,,,1929-01-285,LADYS ISLAND VC,10/23/2001,11/3/2001,HBC,DIED,TRAUMA - NEUROLOGICAL,
TUVU,,,1930-01-286,POWELL,10/23/2001,10/24/2001,UNKNOWN,DIED,TRAUMA - TISSUE,
EASO,,,1931-01-287,HARKEY,10/24/2001,10/31/2001,S HBC,EUTHANIZED,TRAUMA - OU-HEAD,
COHA,,,1932-01-288,GERARD,10/26/2001,10/27/2001,S HBC,DIED,TRAUMA - OD-INTERNAL,
RSHA,,,1933-01-289,STUDLET,10/27/2001,10/29/2001,HBC,DIED,"FX - ULNA, R/TRAUMA - OU-HEAD",
EASO,,,1934-01-290,NAVEC,10/29/2001,1/10/2002,S HBC,EUTHANIZED,"FX - HUMERUS, R",
EASO,,,1935-01-291,ALCOA,11/2/2001,1/17/2002,HBC,RELEASED,TRAUMA - OS,
TUVU,,,1936-01-292,,11/1/2001,11/5/2001,S COLLISION,EUTHANIZED,"FX - ELBOW-RADIUS-ULNA, L",
GHOW,,,1937-01-293,,11/3/2001,1/20/2002,GUNSHOT,RELEASED,TRAUMA - NEUROLOGICAL,
EASO,,,1938-01-294,,11/4/2001,1/10/2002,S COLLISION,RELEASED,TRAUMA - OU-HEAD,
SSHA,,,1939-01-295,SIRES,11/5/2001,11/8/2001,COLLISION,DIED,TRAUMA - NEUROLOGICAL,
TUVU,,,1940-01-296,MITCHELL,11/8/2001,11/8/2001,GUNSHOT,EUTHANIZED,"FX - RADIUS, R",
TUVU,,,1941-01-297,BAUGHMAN,11/8/2001,11/8/2001,S COLLISION,EUTHANIZED,"FX - RADIUS-ULNA, R",
EASO,,,1942-01-298,RIVERBANKS ZOO,11/8/2001,11/30/2001,TRANSFER IN,RELEASED,"FX - METACARPALS, R",
RTHA,,,1943-01-299,,11/9/2001,12/29/2001,HBC,RELEASED,TRAUMA - HEAD,
EASO,,,1944-01-300,LEVIELLE,11/9/2001,5/11/2002,HBC,RELEASED,TRAUMA - OU-HEAD,
SSHA,,,1945-01-301,,11/11/2001,11/12/2001,S COLLISION,DIED,TRAUMA - HEAD,
BLVU,,,1946-01-302,KIRK,11/11/2001,11/11/2001,S COLLISION,EUTHANIZED,TRAUMA - TISSUE-SPINAL,
EASO,,,1947-01-303,GCEVC,11/11/2001,11/11/2001,S COLLISION,EUTHANIZED,"FX - RADIUS-ULNA, L/TRAUMA - OU",
COHA,,,1948-01-304,,11/13/2001,11/15/2001,COLLISION,DIED,TRAUMA - NEUROLOGICAL,
BDOW,,,1949-01-305,GCEVC,11/14/2001,2/3/2002,S COLLISION,RELEASED,"FX - METACARPALS, L",
BDOW,,,1950-01-306,"HOOKER, DVM",11/14/2001,2/13/2002,S COLLISION,RELEASED,TRAUMA - OU,
GHOW,,,1951-01-307,,11/14/2001,11/15/2001,S COLLISION,EUTHANIZED,TRAUMA - OU,
TUVU,,,1952-01-308,US FOREST SERVICE,11/15/2001,11/29/2001,HBC,DIED,"FX - HUMERUS, R/TRAUMA - TISSUE",
BDOW,,,1953-01-309,GERALDS,11/16/2001,11/16/2001,UNKNOWN,EUTHANIZED,"FX - WRIST, L",
OSPR,,,1954-01-310,O'CONNOR,11/16/2001,9/10/2002,TRANSFER IN,EUTHANIZED,"FX - WRIST, L",
BDOW,,,1955-01-311,HENDERSON,11/17/2001,2/12/2002,S COLLISION,RELEASED,"FX - ULNA, R",
SSHA,,,1956-01-312,,11/19/2001,1/22/2002,COLLISION,RELEASED,"FX - ULNA, L",
BDOW,,,1957-01-313,RIVERBANKS ZOO,11/20/2001,12/21/2001,TRANSFER IN,RELEASED,TRAUMA - OU,
EASO,,,1958-01-314,ACHEY,11/21/2001,1/2/2002,EMACIATION,EUTHANIZED,"EMACIATED/TRAUMA - TISSUE, L WING",
BLVU,,,1959-01-315,ROBINSON,11/21/2001,11/24/2001,S HBC,EUTHANIZED,"FX - FEMUR, L/TRAUMA - NEUROLOGICAL",
GOEA,,,1960-01-316,YOUNGMAN,11/24/2001,11/27/2001,EMACIATION,DIED,EMACIATED,
BDOW,,,1961-01-317,"GUILLEAUX, DVM",11/26/2001,2/16/2002,S HBC,RELEASED,TRAUMA - OU,
BDOW,,,1962-01-318,MOODY,11/28/2001,3/27/2002,EMACIATION,RELEASED,TRAUMA - OS/EMACIATED,
COHA,,,1963-01-319,,11/30/2001,12/6/2001,EMACIATION,DIED,EMACIATED,
COHA,,,1964-01-320,,12/4/2001,12/4/2001,EMACIATION,EUTHANIZED,"FX - HUMERUS, R",
COHA,,,1965-01-321,KEELING,12/4/2001,12/11/2001,COLLISION,RELEASED,TRAUMA - OS,
BDOW,,,1966-01-322,RIVERBANKS ZOO,12/4/2001,2/16/2002,TRANSFER IN/HBC,RELEASED,TRAUMA - OU,
COHA,,,1967-01-323,"BROWN, DVM",12/6/2001,12/6/2001,S COLLISION,EUTHANIZED,"FX - HUMERUS, R, OLD/EMACIATED",
COHA,,,1968-01-324,DOSS,12/7/2001,12/20/2001,COLLISION,DIED,EMACIATED,
GHOW,,,1969-01-325,DANIELS,12/8/2001,12/11/2001,TRAPPED/ENTANGLED,EUTHANIZED,"TRAUMA - TISSUE, WING, R",
BDOW,,,1970-01-326,LEWIS,12/9/2001,12/9/2001,S COLLISION,DIED,TRAUMA - INTERNAL,
SSHA,,,1971-01-327,ALLEN,12/9/2001,1/27/2002,COLLISION,EUTHANIZED,"FX - RADIUS-ULNA, R",
EASO,,,1972-01-328,PRICE,12/10/2001,7/1/2002,S HBC,RELEASED,"FX - HUMERUS, L/TRAUMA - OD",
EASO,,,1973-01-329,"BROWN, DVM",12/11/2001,1/29/2002,S COLLISION,EUTHANIZED,TRAUMA - NEUROLOGICAL,
BDOW,,,1974-01-330,,12/11/2001,2/17/2002,S HBC,RELEASED,TRAUMA - OU-HEAD,
BDOW,,,1975-01-331,VON SLEP,12/13/2001,12/14/2001,HBC,DIED,TRAUMA - INTERNAL,
RTHA,,,1976-01-332,ARK VET,12/15/2001,4/2/2002,GUNSHOT,RELEASED,"FX - ULNA, L",
EASO,,,1977-01-333,HERON NATURE CENTER,12/15/2001,3/31/2002,S HBC,RELEASED,TRAUMA - OS,
BAEA,,,1978-01-334,BERKELEY CO. LANDFILL,12/17/2001,1/12/2002,TOXICITY,RELEASED,TOXICITY - BARBITURATE,
RTHA,,,1979-01-335,RUDD,12/17/2001,12/31/2001,HBC,DIED,"FX - FEMUR, L",
BNOW,,,1980-01-336,MCCUTCHEON,12/23/2001,12/23/2001,S HBC,EUTHANIZED,FX - MULTIPLE,
RSHA,,,1981-01-337,DAVIS,12/24/2001,3/15/2002,HBC,RELEASED,TRAUMA - OU-HEAD,
RTHA,,,1982-01-338,GILLIES,12/26/2001,4/29/2002,S COLLISION,RELEASED,TRAUMA - NEUROLOGICAL/EMACIATED,
GHOW,,,1983-01-339,RISEN,12/27/2001,1/31/2002,TRAPPED/ENTANGLED,EUTHANIZED,"FX - TARSOMETATARSUS, R",
BDOW,,,1984-01-340,ARK VET,12/27/2001,12/28/2001,S COLLISION,EUTHANIZED,"FX - MULTIPLE, LEG, L/TRAUMA - OU",
EASO,,,1985-01-341,KINSER,12/29/2001,4/21/2002,S COLLISION,RELEASED,TRAUMA - OD,
BAEA,,,1986-01-342,MURPHY(SCDNR),12/31/2001,12/31/2001,TRAPPED/ENTANGLED,EUTHANIZED,FX - RADIUS-ULNA,
RSHA,,,1987-01-343,DORE,12/31/2001,12/31/2001,S COLLISION,DIED,TRAUMA - INTERNAL,
BDOW,,,1988-01-344,ARK VET,12/31/2001,3/29/2002,S COLLISION,RELEASED,TRAUMA - OU,
RSHA,,,1989-01-345,ARK VET,12/31/2001,12/31/2001,GUNSHOT,EUTHANIZED,FX - MULTIPLE,
RTHA,,,1990-01-346,MOORE,12/31/2001,12/31/2001,S COLLISION,EUTHANIZED,"FX - HUMERUS, L, OLD/EMACIATED",
EASO,,,1991-01-347,KINSER,12/31/2001,4/21/2002,S HBC,RELEASED,TRAUMA - OS,
BDOW,,,1992-02-001,SCDNR,1/1/2002,1/1/2002,S COLLISION,EUTHANIZED,TRAUMA - TISSUE,
RTHA,,,1993-02-002,,1/1/2002,4/21/2002,S HBC,RELEASED,"FX - ULNA, R/TRAUMA - OD",
RTHA,,,1994-02-003,"GUILLEAUX, DVM",1/3/2002,1/3/2002,S COLLISION,EUTHANIZED,"FX - HUMERUS, L/EMACIATED",
TUVU,,,1995-02-004,CONE,1/3/2002,1/3/2002,S COLLISION,EUTHANIZED,"FX - HUMERUS-RADIUS-ULNA, R",
GHOW,,,1996-02-005,MITCHELL,1/3/2002,1/3/2002,EMACIATION,EUTHANIZED,TRAUMA - TISSUE/EMACIATED,
RTHA,,,1997-02-006,HOPE(SCDNR),1/4/2002,2/21/2002,S HBC,EUTHANIZED,FX - MULTIPLE,
EASO,,,1998-02-007,COLE,1/5/2002,1/6/2002,S HBC,EUTHANIZED,TRAUMA - OU,
BDOW,,,1999-02-008,GROOMES,1/6/2002,3/24/2002,HBC,RELEASED,TRAUMA - OU,
EASO,,,2000-02-009,ELDRIDGE,1/6/2002,1/6/2002,S COLLISION,EUTHANIZED,"TRAUMA - OU/FX - HUMERUS, L",
BDOW,,,2001-02-010,ELDRIDGE,1/8/2002,1/8/2002,S HBC,EUTHANIZED,"FX - WRIST, L/TRAUMA-OU",
BLVU,,,2002-02-011,HECKER,1/8/2002,1/21/2002,HBC,DIED,"FX - HUMERUS, L",
BDOW,,,2003-02-012,BATES,1/10/2002,5/18/2002,S HBC,EUTHANIZED,"FX - ULNA, L-JAW",
EASO,,,2004-02-013,DAVIS,1/11/2002,8/6/2002,S HBC,NR/EUTHANIZED,TRAUMA - OU,
EASO,,,2005-02-014,"PARKER, DVM",1/12/2002,6/20/2002,S COLLISION,RELEASED,TRAUMA - OD,
BDOW,,,2006-02-015,MCCORT,1/12/2002,4/19/2002,S COLLISION,RELEASED,TRAUMA - OU,
BDOW,,,2007-02-016,MARRS,1/13/2002,1/14/2002,S HBC,EUTHANIZED,"FX - ULNA, L",
BDOW,,,2008-02-017,OWEN,1/15/2002,2/6/2002,S HBC,EUTHANIZED,TRAUMA - OS-HEAD,
GHOW,,,2009-02-018,SCDNR,1/16/2002,1/17/2002,EMACIATION,DIED,TRAUMA - OU/EMACIATED,
BDOW,,,2010-02-019,EWING,1/16/2002,4/30/2002,HBC,RELEASED,TRAUMA - OU-HEAD,
RTHA,,,2011-02-020,,1/16/2002,1/17/2002,EMACIATION,DIED,EMACIATED,
EASO,,,2012-02-021,RIVERBANKS ZOO,1/19/2002,3/21/2002,TRANSFER IN/HBC,RELEASED,"FX - SCAPULA, L/TRAUMA - OD",
RSHA,,,2013-02-022,BEICHLER,1/21/2002,1/21/2002,S HBC,DIED,TRAUMA - HEAD-INTERNAL,
BDOW,,,2014-02-023,REYNOLDS,1/22/2002,1/22/2002,S HBC,EUTHANIZED,"FX - HUMERUS, L",
RTHA,,,2015-02-024,ARK VET,1/22/2002,1/27/2002,S HBC,DIED,"FX - PELVIC, R",
COHA,,,2016-02-025,"ELDRIDGE, CAROL",1/23/2002,1/28/2002,TRAPPED/EMACIATION,DIED,"FX - FOOT, R/EMACIATED",
BDOW,,,2017-02-026,"KINSER, JANET",1/23/2002,4/30/2002,S HBC,RELEASED,TRAUMA - OU-HEAD,
EASO,,,2018-02-027,TAYLOR,1/26/2002,3/24/2002,HBC,RELEASED,TRAUMA - OU-HEAD,
BDOW,,,2019-02-028,KAHRS,1/27/2002,1/30/2002,S COLLISION,DIED,TRAUMA - OU/EMACIATED,
RTHA,,,2020-02-029,SCDNR,1/27/2002,11/16/2002,S HBC,RELEASED,"FX - HUMERUS, R/EMACIATED",
RTHA,,,2021-02-030,SCDNR,1/29/2002,1/29/2002,HBC,EUTHANIZED,"FX - WRIST, L, OLD",
SSHA,,,2022-02-031,,1/30/2002,1/30/2002,EMACIATION,DIED,EMACIATED,
BDOW,,,2023-02-032,,1/31/2002,1/31/2002,S HBC,EUTHANIZED,FX - RADIUS/TRAUMA - OU,
SSHA,,,2024-02-033,"BERGER, DVM",2/1/2002,2/22/2002,S COLLISION,RELEASED,TRAUMA - OS-HEAD,
RTHA,,,2025-02-034,"SHARMAN, DVM",2/1/2002,2/5/2002,S HBC,DIED,"FX - ULNA, R",
TUVU,,,2026-02-035,BENNETT,2/1/2002,2/3/2002,GUNSHOT,EUTHANIZED,"FX - HUMERUS, OLD",
EASO,,,2027-02-036,ELDRIDGE,2/3/2002,2/3/2002,HBC,EUTHANIZED,"FX - HUMERUS, L/TRAUMA - OU",
BLVU,,,2028-02-037,UTSEY,2/3/2002,3/2/2002,S COLLISION,DIED,"FX - HUMERUS, L",
BDOW,,,2029-02-038,CHILDERS,2/3/2002,6/9/2002,S COLLISION,RELEASED,"TRAUMA - HIP, R",
RTHA,,,2030-02-039,MANN,2/3/2002,5/14/2002,S HBC,RELEASED,"FX - ULNA, L/INFECTION, FOOT, R",
RTHA,,,2031-02-040,RIVERBANKS ZOO,2/8/2002,4/25/2002,TRANSFER IN/GUNSHOT,RELEASED,"FX - ULNA, BILATERAL",
TUVU,,,2032-02-041,RIVERBANKS ZOO,2/8/2002,2/12/2002,TRANSFER IN/GUNSHOT,EUTHANIZED,TRAUMA - OU,
RTHA,,,2033-02-042,ALTINE,2/9/2002,4/21/2002,S COLLISION,RELEASED,"FX - ULNA, R/EMACIATED",
RTHA,,,2034-02-043,BOTELHO,2/9/2002,4/21/2002,HBC,RELEASED,"TRAUMA - FOOT, R",
RTHA,,,2035-02-044,JARRELL,2/10/2002,2/15/2002,EMACIATION,DIED,EMACIATED,
BDOW,,,2036-02-045,MURPHY(SCDNR),2/11/2002,8/13/2002,TRAPPED/ENTANGLED,RELEASED,"TRAUMA - TISSUE, CARPUS, L",
RTHA,,,2037-02-046,RASSMAN,2/15/2002,8/2/2002,HBC,NR/EUTHANIZED,TRAUMA - TISSUE-HEAD,
GHOW,,,2038-02-047,EDMUNDS,2/16/2002,2/23/2002,HBC,EUTHANIZED,"FX - HUMERUS, R/TRAUMA - OU",
BDOW,,,2039-02-048,LEDWIG,2/19/2002,6/4/2002,S COLLISION,RELEASED,"FX - ULNA, R",
RTHA,,,2040-02-049,RIVERBANKS ZOO,2/19/2002,6/27/2002,TRANSFER IN/E SHOCK,RELEASED,FX - PELVIS,
RTHA,,,2041-02-050,COKER(SCDNR),2/20/2002,6/12/2002,EMACIATION,RELEASED,EMACIATED/TRAUMA - NEUROLOGICAL,
TUVU,,,2042-02-051,AMBROSE,2/22/2002,2/24/2002,GUNSHOT,EUTHANIZED,"FX - ULNA-METACARPALS, R",
GHOW,,,2043-02-052,SCHULLER,2/22/2002,2/25/2002,ORPHANED,RELEASED,UNINJURED,
GHOW,,,2044-02-053,SCHULLER,2/22/2002,2/25/2002,ORPHANED,RELEASED,UNINJURED,
RTHA,,,2045-02-054,CLARK,2/24/2002,2/24/2002,S COLLISION,EUTHANIZED,"FX - ELBOW, R",
COHA,,,2046-02-055,FAILMEZGER,2/24/2002,6/14/2002,S COLLISION,EUTHANIZED,"FX - ULNA, L/EMACIATED",
RTHA,,,2047-02-053,UNIV. VA,2/24/2002,11/15/2002,TRANSFER IN,RELEASED,"FX - RADIUS-ULNA, L",
BLVU,,,2048-02-057,,2/26/2002,2/26/2002,S COLLISION,EUTHANIZED,"FX - HUMERUS, L, OLD",
COHA,,,2049-02-058,,2/28/2002,3/10/2002,S COLLISION,RELEASED,TRAUMA - HEAD,
GHOW,,,2050-02-059,MURPHY(SCDNR),3/1/2002,7/30/2002,S COLLISION,RELEASED,"FX - FEMUR, L",
GHOW,,,2051-02-060,WAGNER,3/2/2002,,ORPHANED,TRANSFERRED,UNINJURED,
BLVU,,,2052-02-061,WADFORD,3/3/2002,3/3/2002,GUNSHOT,EUTHANIZED,"FX - MULTIPLE, OLD",
EASO,,,2053-02-062,HELTON,3/3/2002,7/19/2002,S COLLISION,RELEASED,"FX - ULNA, L-METACARPALS, R",
GHOW,,,2054-02-063,HOWARD,3/3/2002,8/10/2002,S COLLISION,RELEASED,"FX - HUMERUS, L",
RTHA,,,2055-02-064,ANIMIAL CONTROL,3/4/2002,3/27/2002,S COLLISION,RELEASED,TRAUMA - HEAD,
RSHA,,,2056-02-065,BEARDEN,3/6/2002,3/6/2002,HBC/GUNSHOT,EUTHANIZED,"FX - MULTIPLE, WINGS",
RTHA,,,2057-02-066,GIBSON,3/6/2002,5/18/2002,S COLLISION,RELEASED,"TRAUMA - HOCK, L",
TUVU,,,2058-02-067,BLAIR,3/6/2002,3/7/2002,GUNSHOT,EUTHANIZED,"FX - HUMERUS, R-RADIUS, L",
RTHA,,,2059-02-068,STEVENSON,3/9/2002,3/10/2002,GUNSHOT,EUTHANIZED,TRAUMA - FEET,
EASO,,,2060-02-069,HOPE(SCDNR),3/12/2002,3/12/2002,S HBC,EUTHANIZED,TRAUMA - OU,
BDOW,,,2061-02-070,HOPE(SCDNR),3/15/2002,3/15/2002,TRAPPED/ENTANGLED,EUTHANIZED,"FX - WRIST, L",
GHOW,,,2062-02-071,ARK VET,3/15/2002,7/5/2002,S HBC,RELEASED,TRAUMA - OU-NEUROLOGICAL,
BDOW,,,2063-02-072,,3/15/2002,3/17/2002,INFECTION,EUTHANIZED,"TRICHOMONIASIS/FX - RADIUS-ULNA, L/TRAUMA - OU",
GHOW,,,2064-02-073,RACKLEY,3/17/2002,8/7/2002,ORPHANED,RELEASED,EMACIATED/TRAUMA - HEAD,
BDOW,,,2065-02-074,JOHNSON,3/17/2002,7/31/2002,HBC,EUTHANIZED,"FX - FEMUR, L/TRAUMA - OU",
GHOW,,,2066-02-075,,3/18/2002,4/10/2002,ORPHANED,EUTHANIZED,TRAUMA - OU,
RTHA,,,2067-02-076,SMITH,3/18/2002,5/8/2002,S HBC,RELEASED,"FX - RADIUS, L, OLD/TRAUMA - TISSUE",
EASO,,,2068-02-077,HAIR,3/20/2002,3/20/2002,S HBC,EUTHANIZED,TRAUMA - OU,
COHA,,,2069-02-078,FORE,3/21/2002,3/21/2002,TRAPPED/ENTANGLED,DIED,TRAUMA - OU/EMACIATED,
RSHA,,,2070-02-079,"GUILLEAUX, DVM",3/22/2002,9/26/2002,GUNSHOT,EUTHANIZED,"FX - RADIUS-ULNA, R/EMACIATED",
GHOW,,,2071-02-080,WAGNER,3/23/2002,7/5/2002,ORPHANED,RELEASED,UNINJURED,
TUVU,,,2072-02-081,NICHOLSON,3/25/2002,3/25/2002,GUNSHOT,EUTHANIZED,"FX - HUMERUS, R",
EASO,,,2073-02-082,"GUILLEAUX, DVM",3/25/2002,7/1/2002,S COLLISION,RELEASED,TRAUMA - OU-HEAD,
TUVU,,,2074-02-083,,3/28/2002,3/28/2002,S COLLISION,EUTHANIZED,"FX - CARPUS, R",
BDOW,,,2075-02-084,"HAWKINS, DVM",3/28/2002,4/29/2002,ORPHANED,EUTHANIZED,"FX - HUMERUS, L",
GHOW,,,2076-02-085,WALTER CROW AN. SHELTER,3/28/2002,7/30/2002,S ENTANGLED,RELEASED,TRAUMA - WINGS,
GHOW,,,2077-02-086,PET VET (STEPHANIE),3/30/2002,3/30/2002,ELECTRIC SHOCK,EUTHANIZED,"TRAUMA - WING, R/L TARSOMETATARSUS",
OSPR,,,2078-02-087,BOYD,4/1/2002,5/7/2002,S TRAPPED/ENTANGLED,DIED,TRAUMA - NEUROLOGICAL,
BAEA,,,2079-02-088,ALBER,4/1/2002,6/19/2002,TOXICITY,RELEASED,TOXICITY - BARBITURATE,
RSHA,,,2080-02-089,KINSER,4/3/2002,4/3/2002,HBC,EUTHANIZED,"FX - HUMERAL CONDYLE, B/TRAUMA - OD",
BLVU,,,2081-02-090,STUDLET,4/8/2002,,ORPHANED,TRANSFERRED,UNINJURED,
BLVU,,,2082-02-091,STUDLET,4/8/2002,,ORPHANED,TRANSFERRED,UNINJURED,
GHOW,,,2083-02-092,MARTIN,4/8/2002,8/3/2002,ORPHANED,RELEASED,EMACIATED,
BDOW,,,2084-02-093,JONES,4/10/2002,4/11/2002,S COLLISION,DIED,TRAUMA - OD-HEAD-INTERNAL,
GHOW,,,2085-02-094,RIVERBANKS ZOO,4/10/2002,8/8/2002,TRANSFER IN/ORPHANED,RELEASED,UNINJURED,
GHOW,,,2086-02-095,RIVERBANKS ZOO,4/10/2002,7/5/2002,TRANSFER IN/ORPHANED,RELEASED,UNINJURED,
GHOW,,,2087-02-096,ELDRIDGE,4/10/2002,7/21/2002,ORPHANED,RELEASED,UNINJURED,
BDOW,,,2088-02-097,RIVERBANKS ZOO,4/10/2002,6/20/2002,TRANSFER IN/ORPHANED,RELEASED,UNINJURED,
BDOW,,,2089-02-098,DABLES,4/11/2002,12/14/2002,S HBC,RELEASED,"TRAUMA - TISSUE, LEG, R-FEATHER",
BDOW,,,2090-02-099,SHUGGS,4/11/2002,4/12/2002,S HBC,DIED,"FX - ULNA, L/TRAUMA - OU-INTERNAL",
BAEA,,,2091-02-100,SCDNR,4/13/2002,9/29/2002,TOXICITY,RELEASED,TOXICITY - BARBITURATE,
OSPR,,,2092-02-101,WADE,4/16/2002,4/18/2002,S COLLISION,EUTHANIZED,"FX - HUMERUS, R",
EASO,,,2093-02-102,BROWDER,4/16/2002,6/23/2002,ORPHANED,RELEASED,UNINJURED,
BDOW,,,2094-02-103,BRUCE,4/18/2002,4/25/2002,TRAPPED/ENTANGLED,DIED,"TRAUMA - TISSUE, LEG, L",
BDOW,,,2095-02-104,KING,4/18/2002,6/9/2002,ORPHANED,RELEASED,UNINJURED,
TUVU,,,2096-02-105,ELLIOTT,4/18/2002,4/19/2002,HBC/GUNSHOT,EUTHANIZED,"FX - ULNA, RADIUS, R-ULNA, L/TRAUMA - OU",
BAEA,,,2097-02-106,PAINTER,4/19/2002,4/21/2002,EMACIATION,DIED,EMACIATED,
BAEA,,,2098-02-107,HOPE(SCDNR),4/23/2002,1/5/2003,ORPHANED/FFN,RELEASED,UNINJURED,
BAEA,,,2099-02-108,RIVERBANKS ZOO,4/24/2002,10/26/2002,TRANSFER IN/S COLLISION,RELEASED,"FX - TIBIOTARSUS, R",
BDOW,,,2100-02-109,RIVERBANKS ZOO,4/24/2002,6/9/2002,TRANSFER IN/ORPHANED,RELEASED,UNINJURED,
EASO,,,2101-02-110,,4/29/2002,6/23/2002,TRAPPED/ENTANGLED,RELEASED,TRAUMA - OU,
RTHA,,,2102-02-111,"KING, ELIZABETH",5/2/2002,5/4/2002,S HBC,DIED,"TRAUMA - MULTIPLE, SEVERE",
